Image_Name,Energy,Entropy,Contrast,Area,Perimeter,Centroid_X,Centroid_Y,Circularity,Label
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_01_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.0865625710201962,9.544871745115909,60.93275867176161,967333.0,8908.365774393082,525,519,0.15317566918698713,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_02_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.17418985378937,9.920242972631598,155.8442718739758,855216.0,16738.06371486187,506,498,0.038359704059801276,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_03_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.14055681288806327,10.094002947457344,124.93141422741273,894056.0,13236.045259833336,507,508,0.06412953620295293,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_04_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.14150023412478366,10.3531271210316,147.6726712781013,892259.5,13553.88588130474,521,512,0.061034219499248726,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_05_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.14074502835530545,10.451122518956993,169.596638029142,890788.5,15217.969139456749,500,492,0.04833604003049665,Urban
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_06_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.16880182833104723,9.771041557568998,142.04517982779262,861273.0,15295.231110930443,508,491,0.04626351321378171,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_07_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.20357179187289642,9.945137757096926,228.95129518627772,822693.5,17330.566242218018,505,482,0.03442091609774484,Urban
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_08_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.24340012095871846,9.4216885545855,173.08992870718345,781669.5,15895.924545168877,529,464,0.038874198269495355,Urban
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_09_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.23544221671055388,9.198147586937596,167.69340362283324,789542.0,17168.240341067314,537,475,0.033661505255235175,Urban
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_10_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.2136934929130446,9.74455756040431,140.24212993619858,815764.5,12445.008680582047,496,500,0.06618876202940475,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_11_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.35786640994463614,7.784225269860393,101.29725119896345,663935.5,12888.998576402664,602,404,0.050222393115330825,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2018_12_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.1590661896720479,9.96896303998823,102.61941905097709,876471.5,11421.999453902245,542,546,0.08442350771517157,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_01_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.13243479443527761,10.298725129084257,127.91837015505544,902901.5,14254.111275315285,533,494,0.05584315526339397,Rural
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_02_mosaic_L15-0331E-1257N_1327_3160_13.tif,0.11441251365477846,10.241777123279808,112.66575508179896,925097.5,10914.09281873703,536,504,0.09759376788687704,Rural
